ORIG_ARPT_CDE,DEST_ARPT_CDE,Origin BackBone Category,Dept BackBone Category,Turn Category,Date,ACFT_CAPY_CT,NSTP_MILE_CT,PAX,REV,ASM,RPM
SFO,SAN,Constrained,Constrained,Waste,12/30/2018,143,447,70,5431,63921,31290
DEN,PDX,Cornerstone,Key Stations,Waste,12/30/2018,143,991,2,0,141713,1982
LGB,LAS,Gateway,Key Stations,HFLI,12/30/2018,143,231,2,418,33033,462
MDW,MSP,Key Stations,Cornerstone,Acceptable,12/30/2018,143,349,102,13321,49907,35598
ATL,MCI,Others,Gateway,Waste,12/30/2018,143,692,94,7339,98956,65048
BWI,STL,Constrained,Others,HFLI,12/30/2018,143,738,59,4630,105534,43542
FLL,PHL,Cornerstone,Constrained,HFLI,12/30/2018,143,992,107,7712,141856,106144
AUS,OAK,Gateway,Constrained,HFLI,12/30/2018,143,1497,129,16755,214071,193113
AUS,LAX,Gateway,Others,Acceptable,12/30/2018,175,1242,141,8036,217350,175122
LAS,OAK,Key Stations,Constrained,HFLI,12/30/2018,143,407,97,11313,58201,39479
MCO,MSY,Others,Constrained,Waste,12/30/2018,143,551,77,2923,78793,42427
ATL,RIC,Others,Constrained,Waste,12/30/2018,143,481,117,4936,68783,56277
PVD,MCO,Constrained,Others,LFHI,12/30/2018,143,1072,71,11412,153296,76112
SMF,BOI,Cornerstone,Gateway,Acceptable,12/30/2018,175,437,163,13443,76475,71231
LAS,SMF,Key Stations,Cornerstone,HFLI,12/30/2018,143,397,124,13854,56771,49228
CMH,MDW,Gateway,Key Stations,LFHI,12/30/2018,143,283,93,11291,40469,26319
DEN,TUL,Cornerstone,Cornerstone,LFHI,12/30/2018,143,541,3,375,77363,1623
PNS,BNA,Key Stations,Gateway,HFLI,12/30/2018,143,391,40,3320,55913,15640
LAX,STL,Others,Others,Acceptable,12/30/2018,143,1592,175,15795,227656,278600
ATL,MCI,Others,Gateway,HFLI,12/30/2018,143,692,145,15333,98956,100340
OAK,OGG,Constrained,Constrained,Waste,12/30/2018,175,2349,73,5974,411075,171477
ONT,PDX,Cornerstone,Key Stations,Acceptable,12/30/2018,143,838,139,7577,119834,116482
BWI,MSY,Constrained,Constrained,Acceptable,12/30/2018,143,998,78,12147,142714,77844
MCI,MDW,Gateway,Key Stations,Waste,12/30/2018,143,405,145,11031,57915,58725
MDW,MCO,Key Stations,Others,Acceptable,12/31/2018,143,990,60,9285,141570,59400
BWI,BHM,Constrained,Others,Waste,12/31/2018,143,682,122,16976,97526,83204
OKC,DAL,Key Stations,Others,LFHI,12/31/2018,143,181,142,17036,25883,25702
DAL,FLL,Others,Cornerstone,Acceptable,12/31/2018,175,1108,112,16828,193900,124096
